management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,0,0,0,0
1,1.95,3.9,5.85,7.8,9.75
2,3.8,7.6,11.4,15.2,19
3,5.55,11.1,16.65,22.2,27.75
4,7.2,14.4,21.6,28.8,36
5,8.75,17.5,26.25,35,43.75
6,10.2,20.4,30.6,40.8,51
7,11.55,23.1,34.65,46.2,57.75
8,12.8,25.6,38.4,51.2,64
9,13.95,27.9,41.85,55.8,69.75
10,15,30,45,60,75
11,15.95,31.9,47.85,63.8,79.75
12,16.8,33.6,50.4,67.2,84
13,17.55,35.1,52.65,70.2,87.75
14,18.2,36.4,54.6,72.8,91
15,18.75,37.5,56.25,75,93.75
16,19.2,38.4,57.6,76.8,96
17,19.55,39.1,58.65,78.2,97.75
18,19.8,39.6,59.4,79.2,99
19,19.95,39.9,59.85,79.8,99.75
20,20,40,60,80,100
21,19.95,39.9,59.85,79.8,99.75
22,19.8,39.6,59.4,79.2,99
23,19.55,39.1,58.65,78.2,97.75
24,19.2,38.4,57.6,76.8,96
25,18.75,37.5,56.25,75,93.75
26,18.2,36.4,54.6,72.8,91
27,17.55,35.1,52.65,70.2,87.75
28,16.8,33.6,50.4,67.2,84
29,15.95,31.9,47.85,63.8,79.75
30,15,30,45,60,75
31,13.95,27.9,41.85,55.8,69.75
32,12.8,25.6,38.4,51.2,64
33,11.55,23.1,34.65,46.2,57.75
34,10.2,20.4,30.6,40.8,51
35,8.75,17.5,26.25,35,43.75
36,7.2,14.4,21.6,28.8,36
37,5.55,11.1,16.65,22.2,27.75
38,3.8,7.6,11.4,15.2,19
39,1.95,3.9,5.85,7.8,9.75
40,0,0,0,0,0
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
