management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,0,0,0,0
1,1.95,2.925,3.9,4.875,5.85
2,3.8,5.7,7.6,9.5,11.4
3,5.55,8.325,11.1,13.875,16.65
4,7.2,10.8,14.4,18,21.6
5,8.75,13.125,17.5,21.875,26.25
6,10.2,15.3,20.4,25.5,30.6
7,11.55,17.325,23.1,28.875,34.65
8,12.8,19.2,25.6,32,38.4
9,13.95,20.925,27.9,34.875,41.85
10,15,22.5,30,37.5,45
11,15.95,23.925,31.9,39.875,47.85
12,16.8,25.2,33.6,42,50.4
13,17.55,26.325,35.1,43.875,52.65
14,18.2,27.3,36.4,45.5,54.6
15,18.75,28.125,37.5,46.875,56.25
16,19.2,28.8,38.4,48,57.6
17,19.55,29.325,39.1,48.875,58.65
18,19.8,29.7,39.6,49.5,59.4
19,19.95,29.925,39.9,49.875,59.85
20,20,30,40,50,60
21,19.95,29.925,39.9,49.875,59.85
22,19.8,29.7,39.6,49.5,59.4
23,19.55,29.325,39.1,48.875,58.65
24,19.2,28.8,38.4,48,57.6
25,18.75,28.125,37.5,46.875,56.25
26,18.2,27.3,36.4,45.5,54.6
27,17.55,26.325,35.1,43.875,52.65
28,16.8,25.2,33.6,42,50.4
29,15.95,23.925,31.9,39.875,47.85
30,15,22.5,30,37.5,45
31,13.95,20.925,27.9,34.875,41.85
32,12.8,19.2,25.6,32,38.4
33,11.55,17.325,23.1,28.875,34.65
34,10.2,15.3,20.4,25.5,30.6
35,8.75,13.125,17.5,21.875,26.25
36,7.2,10.8,14.4,18,21.6
37,5.55,8.325,11.1,13.875,16.65
38,3.8,5.7,7.6,9.5,11.4
39,1.95,2.925,3.9,4.875,5.85
40,0,0,0,0,0
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
