management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,NA,NA,NA,NA
1,1.95,NA,NA,NA,NA
2,3.8,NA,NA,NA,NA
3,5.55,NA,NA,NA,NA
4,7.2,NA,NA,NA,NA
5,8.75,NA,NA,NA,NA
6,10.2,NA,NA,NA,NA
7,11.55,NA,NA,NA,NA
8,12.8,NA,NA,NA,NA
9,13.95,NA,NA,NA,NA
10,15,NA,NA,NA,NA
11,15.95,NA,NA,NA,NA
12,16.8,NA,NA,NA,NA
13,17.55,NA,NA,NA,NA
14,18.2,NA,NA,NA,NA
15,18.75,NA,NA,NA,NA
16,19.2,NA,NA,NA,NA
17,19.55,NA,NA,NA,NA
18,19.8,NA,NA,NA,NA
19,19.95,NA,NA,NA,NA
20,20,0,NA,NA,NA
21,19.95,2.925,NA,NA,NA
22,19.8,5.7,NA,NA,NA
23,19.55,8.325,NA,NA,NA
24,19.2,10.8,NA,NA,NA
25,18.75,13.125,NA,NA,NA
26,18.2,15.3,NA,NA,NA
27,17.55,17.325,NA,NA,NA
28,16.8,19.2,NA,NA,NA
29,15.95,20.925,NA,NA,NA
30,15,22.5,NA,NA,NA
31,13.95,23.925,NA,NA,NA
32,12.8,25.2,NA,NA,NA
33,11.55,26.325,NA,NA,NA
34,10.2,27.3,NA,NA,NA
35,8.75,28.125,NA,NA,NA
36,7.2,28.8,NA,NA,NA
37,5.55,29.325,NA,NA,NA
38,3.8,29.7,NA,NA,NA
39,1.95,29.925,NA,NA,NA
40,0,30,0,NA,NA
41,NA,29.925,3.9,NA,NA
42,NA,29.7,7.6,NA,NA
43,NA,29.325,11.1,NA,NA
44,NA,28.8,14.4,NA,NA
45,NA,28.125,17.5,NA,NA
46,NA,27.3,20.4,NA,NA
47,NA,26.325,23.1,NA,NA
48,NA,25.2,25.6,NA,NA
49,NA,23.925,27.9,NA,NA
50,NA,22.5,30,NA,NA
51,NA,20.925,31.9,NA,NA
52,NA,19.2,33.6,NA,NA
53,NA,17.325,35.1,NA,NA
54,NA,15.3,36.4,NA,NA
55,NA,13.125,37.5,NA,NA
56,NA,10.8,38.4,NA,NA
57,NA,8.325,39.1,NA,NA
58,NA,5.7,39.6,NA,NA
59,NA,2.925,39.9,NA,NA
60,NA,0,40,0,NA
61,NA,NA,39.9,4.875,NA
62,NA,NA,39.6,9.5,NA
63,NA,NA,39.1,13.875,NA
64,NA,NA,38.4,18,NA
65,NA,NA,37.5,21.875,NA
66,NA,NA,36.4,25.5,NA
67,NA,NA,35.1,28.875,NA
68,NA,NA,33.6,32,NA
69,NA,NA,31.9,34.875,NA
70,NA,NA,30,37.5,NA
71,NA,NA,27.9,39.875,NA
72,NA,NA,25.6,42,NA
73,NA,NA,23.1,43.875,NA
74,NA,NA,20.4,45.5,NA
75,NA,NA,17.5,46.875,NA
76,NA,NA,14.4,48,NA
77,NA,NA,11.1,48.875,NA
78,NA,NA,7.6,49.5,NA
79,NA,NA,3.9,49.875,NA
80,NA,NA,0,50,0
81,NA,NA,NA,49.875,5.85
82,NA,NA,NA,49.5,11.4
83,NA,NA,NA,48.875,16.65
84,NA,NA,NA,48,21.6
85,NA,NA,NA,46.875,26.25
86,NA,NA,NA,45.5,30.6
87,NA,NA,NA,43.875,34.65
88,NA,NA,NA,42,38.4
89,NA,NA,NA,39.875,41.85
90,NA,NA,NA,37.5,45
91,NA,NA,NA,34.875,47.85
92,NA,NA,NA,32,50.4
93,NA,NA,NA,28.875,52.65
94,NA,NA,NA,25.5,54.6
95,NA,NA,NA,21.875,56.25
96,NA,NA,NA,18,57.6
97,NA,NA,NA,13.875,58.65
98,NA,NA,NA,9.5,59.4
99,NA,NA,NA,4.875,59.85
100,NA,NA,NA,0,60
101,NA,NA,NA,NA,59.85
102,NA,NA,NA,NA,59.4
103,NA,NA,NA,NA,58.65
104,NA,NA,NA,NA,57.6
105,NA,NA,NA,NA,56.25
106,NA,NA,NA,NA,54.6
107,NA,NA,NA,NA,52.65
108,NA,NA,NA,NA,50.4
109,NA,NA,NA,NA,47.85
110,NA,NA,NA,NA,45
111,NA,NA,NA,NA,41.85
112,NA,NA,NA,NA,38.4
113,NA,NA,NA,NA,34.65
114,NA,NA,NA,NA,30.6
115,NA,NA,NA,NA,26.25
116,NA,NA,NA,NA,21.6
117,NA,NA,NA,NA,16.65
118,NA,NA,NA,NA,11.4
119,NA,NA,NA,NA,5.85
120,NA,NA,NA,NA,0
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
