management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,NA,NA,NA,NA
1,1.95,NA,NA,NA,NA
2,3.8,NA,NA,NA,NA
3,5.55,NA,NA,NA,NA
4,7.2,NA,NA,NA,NA
5,8.75,NA,NA,NA,NA
6,10.2,NA,NA,NA,NA
7,11.55,NA,NA,NA,NA
8,12.8,NA,NA,NA,NA
9,13.95,NA,NA,NA,NA
10,15,0,NA,NA,NA
11,15.95,1.95,NA,NA,NA
12,16.8,3.8,NA,NA,NA
13,17.55,5.55,NA,NA,NA
14,18.2,7.2,NA,NA,NA
15,18.75,8.75,NA,NA,NA
16,19.2,10.2,NA,NA,NA
17,19.55,11.55,NA,NA,NA
18,19.8,12.8,NA,NA,NA
19,19.95,13.95,NA,NA,NA
20,20,15,0,NA,NA
21,19.95,15.95,1.95,NA,NA
22,19.8,16.8,3.8,NA,NA
23,19.55,17.55,5.55,NA,NA
24,19.2,18.2,7.2,NA,NA
25,18.75,18.75,8.75,NA,NA
26,18.2,19.2,10.2,NA,NA
27,17.55,19.55,11.55,NA,NA
28,16.8,19.8,12.8,NA,NA
29,15.95,19.95,13.95,NA,NA
30,15,20,15,0,NA
31,13.95,19.95,15.95,1.95,NA
32,12.8,19.8,16.8,3.8,NA
33,11.55,19.55,17.55,5.55,NA
34,10.2,19.2,18.2,7.2,NA
35,8.75,18.75,18.75,8.75,NA
36,7.2,18.2,19.2,10.2,NA
37,5.55,17.55,19.55,11.55,NA
38,3.8,16.8,19.8,12.8,NA
39,1.95,15.95,19.95,13.95,NA
40,0,15,20,15,0
41,NA,13.95,19.95,15.95,1.95
42,NA,12.8,19.8,16.8,3.8
43,NA,11.55,19.55,17.55,5.55
44,NA,10.2,19.2,18.2,7.2
45,NA,8.75,18.75,18.75,8.75
46,NA,7.2,18.2,19.2,10.2
47,NA,5.55,17.55,19.55,11.55
48,NA,3.8,16.8,19.8,12.8
49,NA,1.95,15.95,19.95,13.95
50,NA,0,15,20,15
51,NA,NA,13.95,19.95,15.95
52,NA,NA,12.8,19.8,16.8
53,NA,NA,11.55,19.55,17.55
54,NA,NA,10.2,19.2,18.2
55,NA,NA,8.75,18.75,18.75
56,NA,NA,7.2,18.2,19.2
57,NA,NA,5.55,17.55,19.55
58,NA,NA,3.8,16.8,19.8
59,NA,NA,1.95,15.95,19.95
60,NA,NA,0,15,20
61,NA,NA,NA,13.95,19.95
62,NA,NA,NA,12.8,19.8
63,NA,NA,NA,11.55,19.55
64,NA,NA,NA,10.2,19.2
65,NA,NA,NA,8.75,18.75
66,NA,NA,NA,7.2,18.2
67,NA,NA,NA,5.55,17.55
68,NA,NA,NA,3.8,16.8
69,NA,NA,NA,1.95,15.95
70,NA,NA,NA,0,15
71,NA,NA,NA,NA,13.95
72,NA,NA,NA,NA,12.8
73,NA,NA,NA,NA,11.55
74,NA,NA,NA,NA,10.2
75,NA,NA,NA,NA,8.75
76,NA,NA,NA,NA,7.2
77,NA,NA,NA,NA,5.55
78,NA,NA,NA,NA,3.8
79,NA,NA,NA,NA,1.95
80,NA,NA,NA,NA,0
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
