management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,NA,NA,NA,NA
1,1.95,NA,NA,NA,NA
2,3.8,NA,NA,NA,NA
3,5.55,NA,NA,NA,NA
4,7.2,NA,NA,NA,NA
5,8.75,NA,NA,NA,NA
6,10.2,NA,NA,NA,NA
7,11.55,NA,NA,NA,NA
8,12.8,NA,NA,NA,NA
9,13.95,NA,NA,NA,NA
10,15,0,NA,NA,NA
11,15.95,2.925,NA,NA,NA
12,16.8,5.7,NA,NA,NA
13,17.55,8.325,NA,NA,NA
14,18.2,10.8,NA,NA,NA
15,18.75,13.125,NA,NA,NA
16,19.2,15.3,NA,NA,NA
17,19.55,17.325,NA,NA,NA
18,19.8,19.2,NA,NA,NA
19,19.95,20.925,NA,NA,NA
20,20,22.5,0,NA,NA
21,19.95,23.925,3.9,NA,NA
22,19.8,25.2,7.6,NA,NA
23,19.55,26.325,11.1,NA,NA
24,19.2,27.3,14.4,NA,NA
25,18.75,28.125,17.5,NA,NA
26,18.2,28.8,20.4,NA,NA
27,17.55,29.325,23.1,NA,NA
28,16.8,29.7,25.6,NA,NA
29,15.95,29.925,27.9,NA,NA
30,15,30,30,0,NA
31,13.95,29.925,31.9,4.875,NA
32,12.8,29.7,33.6,9.5,NA
33,11.55,29.325,35.1,13.875,NA
34,10.2,28.8,36.4,18,NA
35,8.75,28.125,37.5,21.875,NA
36,7.2,27.3,38.4,25.5,NA
37,5.55,26.325,39.1,28.875,NA
38,3.8,25.2,39.6,32,NA
39,1.95,23.925,39.9,34.875,NA
40,0,22.5,40,37.5,0
41,NA,20.925,39.9,39.875,5.85
42,NA,19.2,39.6,42,11.4
43,NA,17.325,39.1,43.875,16.65
44,NA,15.3,38.4,45.5,21.6
45,NA,13.125,37.5,46.875,26.25
46,NA,10.8,36.4,48,30.6
47,NA,8.325,35.1,48.875,34.65
48,NA,5.7,33.6,49.5,38.4
49,NA,2.925,31.9,49.875,41.85
50,NA,0,30,50,45
51,NA,NA,27.9,49.875,47.85
52,NA,NA,25.6,49.5,50.4
53,NA,NA,23.1,48.875,52.65
54,NA,NA,20.4,48,54.6
55,NA,NA,17.5,46.875,56.25
56,NA,NA,14.4,45.5,57.6
57,NA,NA,11.1,43.875,58.65
58,NA,NA,7.6,42,59.4
59,NA,NA,3.9,39.875,59.85
60,NA,NA,0,37.5,60
61,NA,NA,NA,34.875,59.85
62,NA,NA,NA,32,59.4
63,NA,NA,NA,28.875,58.65
64,NA,NA,NA,25.5,57.6
65,NA,NA,NA,21.875,56.25
66,NA,NA,NA,18,54.6
67,NA,NA,NA,13.875,52.65
68,NA,NA,NA,9.5,50.4
69,NA,NA,NA,4.875,47.85
70,NA,NA,NA,0,45
71,NA,NA,NA,NA,41.85
72,NA,NA,NA,NA,38.4
73,NA,NA,NA,NA,34.65
74,NA,NA,NA,NA,30.6
75,NA,NA,NA,NA,26.25
76,NA,NA,NA,NA,21.6
77,NA,NA,NA,NA,16.65
78,NA,NA,NA,NA,11.4
79,NA,NA,NA,NA,5.85
80,NA,NA,NA,NA,0
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
