management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,NA,NA,NA,NA
1,1.95,NA,NA,NA,NA
2,3.8,NA,NA,NA,NA
3,5.55,NA,NA,NA,NA
4,7.2,NA,NA,NA,NA
5,8.75,NA,NA,NA,NA
6,10.2,NA,NA,NA,NA
7,11.55,NA,NA,NA,NA
8,12.8,NA,NA,NA,NA
9,13.95,NA,NA,NA,NA
10,15,NA,NA,NA,NA
11,15.95,NA,NA,NA,NA
12,16.8,NA,NA,NA,NA
13,17.55,NA,NA,NA,NA
14,18.2,NA,NA,NA,NA
15,18.75,NA,NA,NA,NA
16,19.2,NA,NA,NA,NA
17,19.55,NA,NA,NA,NA
18,19.8,NA,NA,NA,NA
19,19.95,NA,NA,NA,NA
20,20,0,NA,NA,NA
21,19.95,1.95,NA,NA,NA
22,19.8,3.8,NA,NA,NA
23,19.55,5.55,NA,NA,NA
24,19.2,7.2,NA,NA,NA
25,18.75,8.75,NA,NA,NA
26,18.2,10.2,NA,NA,NA
27,17.55,11.55,NA,NA,NA
28,16.8,12.8,NA,NA,NA
29,15.95,13.95,NA,NA,NA
30,15,15,NA,NA,NA
31,13.95,15.95,NA,NA,NA
32,12.8,16.8,NA,NA,NA
33,11.55,17.55,NA,NA,NA
34,10.2,18.2,NA,NA,NA
35,8.75,18.75,NA,NA,NA
36,7.2,19.2,NA,NA,NA
37,5.55,19.55,NA,NA,NA
38,3.8,19.8,NA,NA,NA
39,1.95,19.95,NA,NA,NA
40,0,20,0,NA,NA
41,NA,19.95,1.95,NA,NA
42,NA,19.8,3.8,NA,NA
43,NA,19.55,5.55,NA,NA
44,NA,19.2,7.2,NA,NA
45,NA,18.75,8.75,NA,NA
46,NA,18.2,10.2,NA,NA
47,NA,17.55,11.55,NA,NA
48,NA,16.8,12.8,NA,NA
49,NA,15.95,13.95,NA,NA
50,NA,15,15,NA,NA
51,NA,13.95,15.95,NA,NA
52,NA,12.8,16.8,NA,NA
53,NA,11.55,17.55,NA,NA
54,NA,10.2,18.2,NA,NA
55,NA,8.75,18.75,NA,NA
56,NA,7.2,19.2,NA,NA
57,NA,5.55,19.55,NA,NA
58,NA,3.8,19.8,NA,NA
59,NA,1.95,19.95,NA,NA
60,NA,0,20,0,NA
61,NA,NA,19.95,1.95,NA
62,NA,NA,19.8,3.8,NA
63,NA,NA,19.55,5.55,NA
64,NA,NA,19.2,7.2,NA
65,NA,NA,18.75,8.75,NA
66,NA,NA,18.2,10.2,NA
67,NA,NA,17.55,11.55,NA
68,NA,NA,16.8,12.8,NA
69,NA,NA,15.95,13.95,NA
70,NA,NA,15,15,NA
71,NA,NA,13.95,15.95,NA
72,NA,NA,12.8,16.8,NA
73,NA,NA,11.55,17.55,NA
74,NA,NA,10.2,18.2,NA
75,NA,NA,8.75,18.75,NA
76,NA,NA,7.2,19.2,NA
77,NA,NA,5.55,19.55,NA
78,NA,NA,3.8,19.8,NA
79,NA,NA,1.95,19.95,NA
80,NA,NA,0,20,0
81,NA,NA,NA,19.95,1.95
82,NA,NA,NA,19.8,3.8
83,NA,NA,NA,19.55,5.55
84,NA,NA,NA,19.2,7.2
85,NA,NA,NA,18.75,8.75
86,NA,NA,NA,18.2,10.2
87,NA,NA,NA,17.55,11.55
88,NA,NA,NA,16.8,12.8
89,NA,NA,NA,15.95,13.95
90,NA,NA,NA,15,15
91,NA,NA,NA,13.95,15.95
92,NA,NA,NA,12.8,16.8
93,NA,NA,NA,11.55,17.55
94,NA,NA,NA,10.2,18.2
95,NA,NA,NA,8.75,18.75
96,NA,NA,NA,7.2,19.2
97,NA,NA,NA,5.55,19.55
98,NA,NA,NA,3.8,19.8
99,NA,NA,NA,1.95,19.95
100,NA,NA,NA,0,20
101,NA,NA,NA,NA,19.95
102,NA,NA,NA,NA,19.8
103,NA,NA,NA,NA,19.55
104,NA,NA,NA,NA,19.2
105,NA,NA,NA,NA,18.75
106,NA,NA,NA,NA,18.2
107,NA,NA,NA,NA,17.55
108,NA,NA,NA,NA,16.8
109,NA,NA,NA,NA,15.95
110,NA,NA,NA,NA,15
111,NA,NA,NA,NA,13.95
112,NA,NA,NA,NA,12.8
113,NA,NA,NA,NA,11.55
114,NA,NA,NA,NA,10.2
115,NA,NA,NA,NA,8.75
116,NA,NA,NA,NA,7.2
117,NA,NA,NA,NA,5.55
118,NA,NA,NA,NA,3.8
119,NA,NA,NA,NA,1.95
120,NA,NA,NA,NA,0
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
