management_decision,prof_1,prof_2,prof_3,prof_4,prof_5
0,0,0,0,0,0
1,1.95,1.95,1.95,1.95,1.95
2,3.8,3.8,3.8,3.8,3.8
3,5.55,5.55,5.55,5.55,5.55
4,7.2,7.2,7.2,7.2,7.2
5,8.75,8.75,8.75,8.75,8.75
6,10.2,10.2,10.2,10.2,10.2
7,11.55,11.55,11.55,11.55,11.55
8,12.8,12.8,12.8,12.8,12.8
9,13.95,13.95,13.95,13.95,13.95
10,15,15,15,15,15
11,15.95,15.95,15.95,15.95,15.95
12,16.8,16.8,16.8,16.8,16.8
13,17.55,17.55,17.55,17.55,17.55
14,18.2,18.2,18.2,18.2,18.2
15,18.75,18.75,18.75,18.75,18.75
16,19.2,19.2,19.2,19.2,19.2
17,19.55,19.55,19.55,19.55,19.55
18,19.8,19.8,19.8,19.8,19.8
19,19.95,19.95,19.95,19.95,19.95
20,20,20,20,20,20
21,19.95,19.95,19.95,19.95,19.95
22,19.8,19.8,19.8,19.8,19.8
23,19.55,19.55,19.55,19.55,19.55
24,19.2,19.2,19.2,19.2,19.2
25,18.75,18.75,18.75,18.75,18.75
26,18.2,18.2,18.2,18.2,18.2
27,17.55,17.55,17.55,17.55,17.55
28,16.8,16.8,16.8,16.8,16.8
29,15.95,15.95,15.95,15.95,15.95
30,15,15,15,15,15
31,13.95,13.95,13.95,13.95,13.95
32,12.8,12.8,12.8,12.8,12.8
33,11.55,11.55,11.55,11.55,11.55
34,10.2,10.2,10.2,10.2,10.2
35,8.75,8.75,8.75,8.75,8.75
36,7.2,7.2,7.2,7.2,7.2
37,5.55,5.55,5.55,5.55,5.55
38,3.8,3.8,3.8,3.8,3.8
39,1.95,1.95,1.95,1.95,1.95
40,0,0,0,0,0
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
